year,per_capita_inc,
1970,3399.2990,
1971,3768.2979,
1972,4251.1755,
1973,4804.4632,
1974,5576.5146,
1975,5998.1443,
1976,7062.1314,
1977,7100.1262,
1978,7247.9670,
1979,7602.9127,
1980,8355.9681,
1981,9434.3907,
1982,9619.4384,
1983,10416.5366,
1984,10790.3287,
1985,11018.9559,
1986,11482.8915,
1987,12974.8066,
1988,15080.2835,
1989,16426.7255,
1990,16838.6732,
1991,17266.0977,
1992,16412.0831,
1993,15875.5867,
1994,15755.8203,
1995,16369.3173,
1996,16699.8267,
1997,17310.7578,
1998,16622.6719,
1999,17581.0241,
2000,18987.3824,
2001,18601.3972,
2002,19232.1756,
2003,22739.4263,
2004,25719.1472,
2005,29198.0557,
2006,32738.2629,
2007,36144.4812,
2008,37446.4861,
2009,32755.1768,
2010,38420.5229,
2011,42334.7112,
2012,42665.2560,
2013,42676.4684,
2014,41039.8936,
2015,35175.1890,
2016,34229.1936,
